elements_bit_size,max_bit_size,n,ops_per_sec,heap_used,total_size
16,8,5,700754.531519324,10798104,256
16,8,6,1199334.4656504865,10777504,256
16,8,7,2084511.9021041086,13181656,256
16,8,8,2972008.9849605123,10798600,256
16,8,9,2960518.270160263,13186608,512
16,8,10,3014362.1241793786,10573440,1024
16,8,11,3031834.41551224,13039384,2048
16,8,12,2994985.0872615553,10823408,4096
16,8,13,2957541.8753980296,10816680,8192
16,8,14,2993261.8086210336,10856760,16384
16,8,15,2989684.776366209,12981816,32768
16,12,5,47518.03632753447,11078448,4096
16,12,6,94428.02298854434,13221304,4096
16,12,7,181189.9270905203,10997984,4096
16,12,8,364765.2649131497,11032424,4096
16,12,9,664721.848982335,10991680,4096
16,12,10,1186674.4921282378,11037672,4096
16,12,11,1938699.064876053,10992704,4096
16,12,12,2720796.7014162336,11038912,4096
16,12,13,2711831.532223605,10992816,8192
16,12,14,2721136.9612461943,11039512,16384
16,12,15,2707712.751523647,11000528,32768
16,16,5,2707.427788837305,12360992,65536
16,16,6,5629.422275620494,11911832,65536
16,16,7,11205.621708060142,14065152,65536
16,16,8,22836.902888695902,11846272,65536
16,16,9,45708.380608408486,11823896,65536
16,16,10,90285.02962954539,11782888,65536
16,16,11,163529.17883528912,11814904,65536
16,16,12,293160.375745959,11796600,65536
16,16,13,440061.475455723,11806584,65536
16,16,14,660949.3162200098,11783424,65536
16,16,15,822507.4493625554,11805008,65536
16,20,5,115.27208970060491,34191968,1029376
16,20,6,233.5448807607727,28781808,1048064
16,20,7,498.8638861688978,25765872,1048576
16,20,8,1212.8188373353246,24252936,1048576
16,20,9,2533.7142752313775,23463640,1048576
16,20,10,5228.915207410997,23132120,1048576
16,20,11,10169.21339205852,22991168,1048576
16,20,12,17801.62647122817,22819192,1048576
16,20,13,28239.196984021903,22853288,1048576
16,20,14,41994.54723241837,22869392,1048576
16,20,15,54230.462237977015,22819096,1048576
16,24,5,41.23357417907281,109423728,3708928
16,24,6,43.217333734161755,108560928,6602176
16,24,7,45.580475576402094,112177328,10592128
16,24,8,59.585007827120826,107199328,14525696
16,24,9,90.91642439360253,97043544,16480768
16,24,10,157.28570077384273,95877680,16770048
16,24,11,334.5574643129884,90809496,16777216
16,24,12,710.3074402889923,89533000,16777216
16,24,13,1175.678076637791,88939384,16777216
16,24,14,1812.9225194407725,88844112,16777216
16,24,15,2341.3317613256745,88479736,16777216
16,28,5,37.96796477170637,306446880,4161696
16,28,6,39.75601853749748,306508408,8257216
16,28,7,37.836881682259374,318955592,16257024
16,28,8,37.51696743134702,319889168,31522048
16,28,9,35.34468045173674,321606936,59323392
16,28,10,34.368464228813686,328931024,105796608
16,28,11,28.757899235219302,332980432,169725952
16,28,12,23.5464894698199,337322936,232349696
16,28,13,22.211001195038854,355081160,263249920
16,28,14,21.92290501830617,374311016,268353536
16,28,15,25.098751931876023,381995960,268435456
16,32,5,32.542197632560296,621172592,4192608
16,32,6,30.706602754527506,612258104,8380352
16,32,7,32.450510596224156,621798760,16744192
16,32,8,33.088535341442714,627557480,33424640
16,32,9,32.49613810309508,624834296,66607616
16,32,10,28.548551198082716,629208264,132098048
16,32,11,26.686166782457942,637554472,260134912
16,32,12,22.406514063739834,642940280,505090048
16,32,13,18.41251588178791,689482800,948199424
16,32,14,12.653673322241655,750022224,1693253632
16,32,15,7.72629652085395,895921480,2716368896
